p_id,is_primary,compatible_number,car_model,vehicle_spec,year,product_name,product_spec,brand,note
MGXE-001,1,MGXE-001,,好幫手 PRONTO,,-95,,雨刷拉桿,1000
XE-0010,1,XE-0010,,通用,,,,鋁管,F*F 公母牙 1.5尺
XE-0010,0,A01-05-002,,,,,,鋁管,F*F 公母牙 1.5尺
XE-0011,1,XE-0011,,通用,,,,鋁管,F*F 公母牙 2尺
XE-0011,0,A01-05-003,,,,,,鋁管,F*F 公母牙 2尺
XE-0012,1,XE-0012,,通用,,,,鋁管,F*F 1尺
XE-0012,0,A01-01-001,,,,,,鋁管,F*F 1尺
XE-0013,1,XE-0013,,通用,,,,鋁管,F*F 1.5尺
XE-0013,0,A01-01-002,,,,,,鋁管,F*F 1.5尺
XE-0014,1,XE-0014,,通用,,,,鋁管,F*F 2尺
XE-0014,0,AL60-20-01,,,,,,鋁管,F*F 2尺
XE-0014,0,A01-01-003,,,,,,鋁管,F*F 2尺
XE-0015,1,XE-0015,,通用,,,,鋁管,F*F 2.5尺
XE-0015,0,A01-01-004,,,,,,鋁管,F*F 2.5尺
XE-0016,1,XE-0016,,通用,,,,鋁管,F*F 3尺
XE-0016,0,A01-01-005,,,,,,鋁管,F*F 3尺
XE-0017,1,XE-0017,,通用,,,,鋁管,3分 公母牙 22cm O
XE-0017,0,A01-06-004,,,,,,鋁管,3分 公母牙 22cm O
XE-0018,1,XE-0018,,通用,,,,鋁管,3分 公母牙 1尺 O
XE-0018,0,AL-60-10-06,,,,,,鋁管,3分 公母牙 1尺 O
XE-0018,0,A01-06-001,,,,,,鋁管,3分 公母牙 1尺 O
XE-0018,0,AAB-046-06,,,,,,鋁管,3分 公母牙 1尺 O
XE-0019,1,XE-0019,,通用,,,,鋁管,3分 公母牙 1.5尺 O
XE-0019,0,A01-06-002,,,,,,鋁管,3分 公母牙 1.5尺 O
XE-0019,0,AL60-15-06,,,,,,鋁管,3分 公母牙 1.5尺 O
XE-0019,0,1.5T3OE,,,,,,鋁管,3分 公母牙 1.5尺 O
MGXE-002,1,MGXE-002,,FESTIVA 嘉年華,,-96,,雨刷拉桿,大孔 台全
XE-0020,1,XE-0020,,通用,,,,鋁管,3分 公母牙 2尺 O
XE-0020,0,AL60-20-06,,,,,,鋁管,3分 公母牙 2尺 O
XE-0021,1,XE-0021,,通用,,,,鋁管,3分 公母牙 2.5尺 O
XE-0021,0,AL60-25-06,,,,,,鋁管,3分 公母牙 2.5尺 O
XE-0021,0,A01-06-005,,,,,,鋁管,3分 公母牙 2.5尺 O
XE-0022,1,XE-0022,,通用,,,,鋁管,3分 公母牙 3尺 O
XE-0022,0,AL60-33-06,,,,,,鋁管,3分 公母牙 3尺 O
XE-0022,0,AL60-30-06,,,,,,鋁管,3分 公母牙 3尺 O
XE-0022,0,A01-06-006,,,,,,鋁管,3分 公母牙 3尺 O
XE-0023,1,XE-0023,,通用,,,,鋁管,3分 1尺 O
XE-0023,0,1T3O,,,,,,鋁管,3分 1尺 O
XE-0023,0,A01-02-001,,,,,,鋁管,3分 1尺 O
XE-0023,0,AL60-10-02,,,,,,鋁管,3分 1尺 O
XE-0024,1,XE-0024,,通用,,,,鋁管,3分 1.5尺 O
XE-0024,0,A01-02-002,,,,,,鋁管,3分 1.5尺 O
XE-0024,0,AL60-15-02,,,,,,鋁管,3分 1.5尺 O
XE-0024,0,1.5T3O,,,,,,鋁管,3分 1.5尺 O
XE-0025,1,XE-0025,,通用,,,,鋁管,3分 2尺 O
XE-0025,0,AAA-048,,,,,,鋁管,3分 2尺 O
XE-0025,0,A01-02-003,,,,,,鋁管,3分 2尺 O
XE-0025,0,AL60-20-02,,,,,,鋁管,3分 2尺 O
XE-0025,0,2T3O,,,,,,鋁管,3分 2尺 O
XE-0026,1,XE-0026,,通用,,,,鋁管,3分 2.5尺 O
XE-0026,0,AL60-25-02,,,,,,鋁管,3分 2.5尺 O
XE-0026,0,AAA-049,,,,,,鋁管,3分 2.5尺 O
XE-0026,0,A01-02-003-1,,,,,,鋁管,3分 2.5尺 O
XE-0027,1,XE-0027,,通用,,,,鋁管,3分 3尺 O*O
XE-0027,0,AL60-30-02,,,,,,鋁管,3分 3尺 O*O
XE-0027,0,A01-02-004,,,,,,鋁管,3分 3尺 O*O
XE-0027,0,AL60-33-02,,,,,,鋁管,3分 3尺 O*O
XE-0027,0,1M3O,,,,,,鋁管,3分 3尺 O*O
XE-0027-1,1,XE-0027-1,,通用,,,,鋁管,3分 3.5尺 O*O
XE-0027-1,0,,,通用,,,,鋁管,3.5尺
XE-0028,1,XE-0028,,通用,,,,鋁管,2.8分 公母牙 14cm O
XE-0029,1,XE-0029,,通用,,,,鋁管,2.8分 公母牙 22cm O
XE-0029,0,AAB-001-03,,,,,,鋁管,2.8分 公母牙 22cm O
XE-0029,0,AL60-22-02,,,,,,鋁管,2.8分 公母牙 22cm O
XE-0029,0,A01-08-005,,,,,,鋁管,2.8分 公母牙 22cm O
MGXE-003,1,MGXE-003,,FESTIVA 嘉年華,,-96,,雨刷拉桿,小孔
XE-0030,1,XE-0030,,通用,,,,鋁管,2.8分 公母牙 1尺 O
XE-0030,0,AAB-001,,雅歌 K5,,,,鋁管,台規 風箱22排用延長管 2.8分 公母牙 1尺
XE-0030,0,A01-08-001,,,,,,鋁管,2.8分 公母牙 1尺 O
XE-0030-1,1,XE-0030-1,,通用,,,,鋁管,2.8分 母牙-3分 公 1尺 O
XE-0030-1,0,AAB-001,,雅歌 K5,,,,鋁管,美規 風箱13排用延長管 2.8分 公母牙 1尺
XE-0030-2,1,XE-0030-2,,雅歌 K5,,,,鋁管,台規 風箱22排用延長管 2.8分 公母牙
XE-0030-2,0,CV123J064,,,,,,鋁管,台規 風箱22排用延長管 2.8分 公母牙
XE-0031,1,XE-0031,,通用,,,,鋁管,2.8分 公母牙 2.5尺 O
XE-0031,0,AL60-25-07,,,,,,鋁管,2.8分 公母牙 2.5尺 O
XE-0031,0,A01-08-003-1,,,,,,鋁管,2.8分 公母牙 2.5尺 O
XE-0032,1,XE-0032,,通用,,,,鋁管,2.8分 公母牙 1.5尺 O
XE-0032,0,A01-08-002,,,,,,鋁管,2.8分 公母牙 1.5尺 O
XE-0033,1,XE-0033,,通用,,,,鋁管,2.8分 公母牙 2尺 O
XE-0033,0,A01-08-003,,,,,,鋁管,2.8分 公母牙 2尺 O
XE-0034,1,XE-0034,,通用,,,,鋁管,2.8分 公母牙 3尺 O
XE-0034,0,A01-08-004,,,,,,鋁管,2.8分 公母牙 3尺 O
XE-0035,1,XE-0035,,通用,,,,鋁管,2.8分 1尺 O
XE-0035,0,A01-03-001,,,,,,鋁管,2.8分 1尺 O
XE-0035,0,AL60-10-03,,,,,,鋁管,2.8分 1尺 O
XE-0036,1,XE-0036,,通用,,,,鋁管,2.8分 1.5尺 O
XE-0036,0,A01-03-002,,,,,,鋁管,2.8分 1.5尺 O
XE-0036,0,AL60-15-03,,,,,,鋁管,2.8分 1.5尺 O
XE-0037,1,XE-0037,,通用,,,,鋁管,2.8分 2尺 O
XE-0037,0,A01-03-003,,,,,,鋁管,2.8分 2尺 O
XE-0038,1,XE-0038,,通用,,,,鋁管,2.8分 2.5尺 O
XE-0038,0,A01-03-004,,,,,,鋁管,2.8分 2.5尺 O
XE-0039,1,XE-0039,,通用,,,,鋁管,2.8分 3尺 O
XE-0039,0,A01-03-005,,,,,,鋁管,2.8分 3尺 O
MGXE-004,1,MGXE-004,,FESTIVA 嘉年華,,96-,,雨刷拉桿,
MGXE-004,0,,,FESTIVA 嘉年華,,96~,,雨刷拉桿,
MGXE-004S,1,MGXE-004S,,FESTIVA 嘉年華,,96-,,雨刷拉桿,
MGXE-004S,0,,,FESTIVA 嘉年華,,96~,,雨刷拉桿,
XE-0040,1,XE-0040,,通用,,,,鋁管,311 公母牙 14cm O
XE-0040,0,,,天王星,,88,,鋁管,R12 膨脹閥專用 3分
XE-0040,0,A02-01-008,,,,,,鋁管,311 公母牙 14cm O
XE-0040,0,AL60-14-01,,,,,,鋁管,311 公母牙 14cm O
XE-0041,1,XE-0041,,通用,,,,鋁管,311 公母牙 22cm O
XE-0041,0,AL60-22-01,,,,,,鋁管,311 公母牙 22cm O
XE-0041,0,A02-01-009,,,,,,鋁管,311 公母牙 22cm O
XE-0041,0,0.8T311E,,,,,,鋁管,311 公母牙 22cm O
XE-0041,0,0.7T311E,,,,,,鋁管,311 公母牙 22cm O
XE-0042,1,XE-0042,,通用,,,,鋁管,311 公母牙 1尺 O
XE-0042,0,,,得利卡,,,,鋁管,風箱延長管 箱車 (311) 公母牙 1尺 O
XE-0042,0,1T311E,,,,,,鋁管,311 公母牙 1尺 O
XE-0042,0,AAB-016,,,,,,鋁管,311 公母牙 1尺 O
XE-0042,0,A02-01-010,,,,,,鋁管,311 公母牙 1尺 O
XE-0042,0,AL60-10-08,,,,,,鋁管,311 公母牙 1尺 O
XE-0043,1,XE-0043,,通用,,,,鋁管,311 公母牙 1.5尺 O
XE-0043,0,A02-01-011,,,,,,鋁管,311 公母牙 1.5尺 O
XE-0043,0,AL60-15-08,,,,,,鋁管,311 公母牙 1.5尺 O
XE-0044,1,XE-0044,,通用,,,,鋁管,311 公母牙 2尺 O
XE-0044,0,A02-01-012,,,,,,鋁管,311 公母牙 2尺 O
XE-0045,1,XE-0045,,通用,,,,鋁管,311 公母牙 2.5尺 O
XE-0045,0,A02-01-013,,,,,,鋁管,311 公母牙 2.5尺 O
XE-0045,0,AL60-25-08,,,,,,鋁管,311 公母牙 2.5尺 O
XE-0046,1,XE-0046,,通用,,,,鋁管,311 公母牙 3尺 O
XE-0046,0,A02-01-014,,,,,,鋁管,311 公母牙 3尺 O
XE-0046,0,AL60-30-08,,,,,,鋁管,311 公母牙 3尺 O
XE-0047,1,XE-0047,,通用,,,,鋁管,311 1尺 O
XE-0047,0,A02-01-002,,,,,,鋁管,311 1尺 O
XE-0047-1,1,XE-0047-1,,通用,,,,鋁管,311 22cm
XE-0048,1,XE-0048,,通用,,,,鋁管,311 1.5尺 O
XE-0048,0,A02-01-003,,,,,,鋁管,311 1.5尺 O
XE-0048,0,AL60-15-04,,,,,,鋁管,311 1.5尺 O
XE-0049,1,XE-0049,,通用,,,,鋁管,311 2尺 O *注意漲價*
XE-0049,0,2T311,,,,,,鋁管,311 2尺 O *注意漲價*
XE-0049,0,A02-01-004,,,,,,鋁管,311 2尺 O *注意漲價*
XE-0049,0,AL60-20-04,,,,,,鋁管,311 2尺 O *注意漲價*
MGXE-005,1,MGXE-005,,FESTIVA 嘉年華,,96-,,雨刷拉桿,
MGXE-005,0,,,FESTIVA 嘉年華,,96~,,雨刷拉桿,
XE-0050,1,XE-0050,,通用,,,,鋁管,311 2.5尺 O
XE-0050,0,AAA-019,,,,,,鋁管,311 2.5尺 O
XE-0050,0,A02-01-005,,,,,,鋁管,311 2.5尺 O
XE-0051,1,XE-0050,,通用,,,,鋁管,311 2.5尺 O
XE-0051,0,AAA-019,,,,,,鋁管,311 2.5尺 O
XE-0051,0,A02-01-005,,,,,,鋁管,311 2.5尺 O
XE-0052,1,XE-0052,,通用,,,,鋁管,3分 4.5尺 O
XE-0052,0,4.5T3O,,,,,,鋁管,
XE-0052,0,A01-02-010,,,,,,鋁管,3分 4.5尺 O
XE-0053,1,XE-0053,,通用,,,,鋁管,3分 5尺 O
XE-0053,0,A01-02-006,,,,,,鋁管,3分 5尺 O
XE-0053,0,AL60-50-02,,,,,,鋁管,3分 5尺 O
XE-0053,0,5T3O,,,,,,鋁管,3分 5尺 O
XE-0054,1,XE-0054,,通用,,,,鋁管,3分 6尺 O
XE-0054,0,A01-02-007,,,,,,鋁管,3分 6尺 O
XE-0054,0,AL60-60-02,,,,,,鋁管,3分 6尺 O
XE-0054,0,6T3O,,,,,,鋁管,3分 6尺 O
XE-0054-1,1,XE-0054-1,,通用,,,,鋁管,3分 7尺 O
XE-0054-1,0,A01-02-008,,,,,,鋁管,3分 7尺 O
XE-0054-1,0,7T3O,,,,,,鋁管,3分 7尺 O
XE-0055,1,XE-0055,,通用,,,,鋁管,3分 H型 公母牙 1尺 O
XE-0055,0,CV118J071,,雅歌 K7,,94-97,,鋁管,美規 風箱延長管 3分H型 公母牙 1尺
XE-0055,0,,,福將,,94-,,鋁管,3分 H型 公母牙 1尺 O
XE-0055,0,A01-07-002,,,,,,鋁管,3分 H型 公母牙 1尺 O
XE-0055,0,1THE,,,,,,鋁管,3分 H型 公母牙 1尺 O
XE-0055-1,1,XE-0055-1,,通用,,,,鋁管,3分 公母牙H型 25CM
XE-0055-2,1,XE-0055-2,,通用,,,,鋁管,3分 公3分*母牙H型 25CM
XE-0055-3,1,XE-0055-3,,通用,,,,鋁管,3分 公311分*母牙H型 25CM
XE-0055-4,1,XE-0055-4,,日立 Hitachi,,,,鋁管,ZX200-6型 風箱延長管 (3分) 3分公H*311母
MGXE-006,1,MGXE-006,,金全壘打,,,,雨刷拉桿,士林小孔
XE-0065,1,XE-0065,,新象,,,,鋁管,R12 G130 松下 乾-風-2
XE-0065,0,A20-01-000,,,,,,鋁管,R12 G130 松下 乾-風-2
XE-0066,1,XE-0066,,新象,,,,鋁管,R12 G130 永大 乾-風-2
XE-0066,0,A20-01-001,,,,,,鋁管,R12 G130 永大 乾-風-2
XE-0067,1,XE-0067,,新象,,,,鋁管,R134 Mi16 松下 乾-散
XE-0067,0,A20-03-000,,,,,,鋁管,R134 Mi16 松下 乾-散
XE-0068,1,XE-0068,,新象,,,,鋁管,R134 Mi16 松下 乾-風-1
XE-0068,0,A20-03-001,,,,,,鋁管,R134 Mi16 松下 乾-風-1
XE-0069,1,XE-0069,,新象,,,,鋁管,R134 Mi16 松下 壓-風 (5分)
XE-0069,0,,,新象,,,,鋁管,R134 Mi16 永大 壓-風(5分)
XE-0069,0,A20-03-003,,,,,,鋁管,R134 Mi16 松下 壓-風 (5分)
MGXE-007,1,MGXE-007,,LIATA,,,,雨刷拉桿,(品質不良賣正廠)
MGXE-007,0,,,AZTEC,,,,雨刷拉桿,(品質不良賣正廠)
XE-0070,1,XE-0070,,新象,,,,鋁管,R134 Mi16 松下 乾-風-2
XE-0070,0,,,新象,,,,鋁管,R134 Mi16 永大 乾-風2
XE-0070,0,A20-03-002,,,,,,鋁管,R134 Mi16 松下 乾-風-2
XE-0071,1,XE-0071,,新象,,,,鋁管,R134 Mi16 永大 乾-風-1
XE-0071,0,A20-02-001,,,,,,鋁管,R134 Mi16 永大 乾-風-1
XE-0072,1,XE-0072,,VECTRA,,90-92,,鋁管,R12 V5 毛細管
XE-0072,0,A24-01-002,,,,90-92,,鋁管,R12 V5 毛細管
XE-0072-1,1,XE-0072-1,,VECTRA,,97-,,鋁管,2.0 散熱片接管
XE-0072-1,0,OP065,,,,97-,,鋁管,2.0 散熱片接管
XE-0073,1,XE-0073,,TWINGO,,,,鋁管,乾-散
XE-0073,0,A17-02-001,,,,,,鋁管,乾-散
XE-0074,1,XE-0074,,JUSTY 捷速帝,,,,鋁管,R12 永大/台全 壓-散 (4分)
XE-0074,0,,,JUSTY 捷速帝,,,,鋁管,R12 台全 壓散(4分)
XE-0074,0,A13-01-001,,,,,,鋁管,R12 永大/台全 壓-散 (4分)
XE-0075,1,XE-0075,,JUSTY 捷速帝,,,,鋁管,R12 永大 壓-風 (5分)
XE-0075,0,,,JUSTY 捷速帝,,,,鋁管,R12 台全 壓風(5分)
XE-0075,0,A13-01-002,,,,,,鋁管,R12 永大 壓-風 (5分)
XE-0077,1,XE-0077,,IMPREZA,,,,鋁管,1.6 1.8 台規 乾-散
XE-0077,0,,,IMPREZA,,,,鋁管,R134 台規 1.8 乾散
XE-0077,0,SU006I383,,,,,,鋁管,1.6 1.8 台規 乾-散
XE-0077,0,C21A513C20,,,,,,鋁管,1.6 1.8 台規 乾-散
XE-0077,0,I-383,,,,,,鋁管,1.6 1.8 台規 乾-散
XE-0077,0,A13-03-001,,,,,,鋁管,1.6 1.8 台規 乾-散
XE-0078,1,XE-0078,,IMPREZA,,,,鋁管,1.6 1.8 台規 乾-風
XE-0078,0,,,IMPREZA,,,,鋁管,1.8 R134 台規 乾風
XE-0078,0,A13-03-002,,,,,,鋁管,1.6 1.8 台規 乾-風
XE-0078,0,I-384,,,,,,鋁管,1.6 1.8 台規 乾-風
XE-0079,1,XE-0079,,IMPREZA,,97-,,鋁管,2.0 日規 乾-散
XE-0079,0,A13-04-001,,,,97-,,鋁管,2.0 日規 乾-散
XE-0079,0,I-383-1,,,,97-,,鋁管,2.0 日規 乾-散
XE-0079,0,SU006I383,,,,97-,,鋁管,2.0 日規 乾-散
XE-0079-1,1,XE-0079-1,,IMPREZA,,99,,鋁管,2.0 乾-散 9彎
XE-0079-1,0,SU012,,,,99,,鋁管,2.0 乾-散 9彎
XE-0079-2,1,XE-0079-2,,IMPREZA,,99,,鋁管,2.0 乾-散 10彎
XE-0079-2,0,SU029,,,,99,,鋁管,2.0 乾-散 10彎
MGXE-008,1,MGXE-008,,LIATA,,,,雨刷拉桿,
MGXE-008,0,,,AZTEC,,,,雨刷拉桿,
MGXE-008,0,FDWL-030A1,,,,,,雨刷拉桿,
MGXE-008,0,BC1ME 67360AA,,,,,,雨刷拉桿,
XE-0080,1,XE-0080,,IMPREZA,,97-,,鋁管,2.0 日規 乾-風
XE-0080,0,A13-04-002,,,,97-,,鋁管,2.0 日規 乾-風
XE-0080,0,I-384-1,,,,97-,,鋁管,2.0 日規 乾-風
XE-0081,1,XE-0081,,金福相,,,,鋁管,長 (5分)
XE-0082,1,XE-0082,,金福相,,,,鋁管,短 (5分)
XE-0083,1,XE-0083,,ESCUDO 吉星,,,,鋁管,1.6 R12 乾-散 (DENSO)
XE-0083,0,A18-01-001,,,,,,鋁管,1.6 R12 乾-散 (DENSO)
XE-0084,1,XE-0084,,ESCUDO 吉星,,,,鋁管,1.6 R12 壓-風 (5分) (DENSO)
XE-0084,0,CSZ-005,,,,,,鋁管,1.6 R12 壓-風 (5分) (DENSO)
XE-0084,0,A18-01-003,,,,,,鋁管,1.6 R12 壓-風 (5分) (DENSO)
XE-0085,1,XE-0085,,ESCUDO 吉星,,,,鋁管,1.6 R12 乾-風-1(視窗氣嘴)/(DENSO)
XE-0085,0,A18-01-002,,,,,,鋁管,1.6 R12 乾-風-1(視窗氣嘴)/(DENSO)
XE-0085,0,ASZ-006,,,,,,鋁管,1.6 R12 乾-風-1(視窗氣嘴)/(DENSO)
XE-0086,1,XE-0086,,ESCUDO 吉星,,,,鋁管,1.6 R12 風箱延長管 (DENSO)
XE-0086,0,A18-01-000,,,,,,鋁管,1.6 R12 風箱延長管 (DENSO)
XE-0087,1,XE-0087,,ESCUDO 吉星,,,,鋁管,1.6 R134 乾-散 (松下)
XE-0087,0,A18-03-003,,,,,,鋁管,1.6 R134 乾-散 (松下)
XE-0088,1,XE-0088,,ESCUDO 吉星,,,,鋁管,1.6 R134 壓-風 (5分) (松下)
XE-0088,0,A18-03-005,,,,,,鋁管,1.6 R134 壓-風 (5分) (松下)
XE-0088,0,ESZ-001,,,,,,鋁管,1.6 R134 壓-風 (5分) (松下)
XE-0089,1,XE-0089,,ESCUDO 吉星,,,,鋁管,1.6 R134 乾-風 (松下) 與090共用
XE-0089,0,A18-03-004,,,,,,鋁管,1.6 R134 乾-風 (松下) 與090共用
MGXE-009,1,MGXE-009,,全壘打,,88~,,雨刷拉桿,士林
MGXE-009,0,,,諾貝爾,,,,雨刷拉桿,士林
XE-0090,1,XE-0090,,VITARA 金吉星,,94-,,鋁管,乾-風 (松下) 附風嘴
XE-0090,0,,,ESCUDO 吉星,,,,鋁管,1.6 R134a (松下) 乾風 附風嘴
XE-0090,0,A18-03-002,,,,94-,,鋁管,乾-風 (松下) 附風嘴
XE-0090,0,PI-2241,,,,94-,,鋁管,乾-風 (松下) 附風嘴
XE-0091,1,XE-0091,,VITARA 金吉星,,94-,,鋁管,乾-散 (松下)
XE-0091,0,A18-03-001,,,,94-,,鋁管,乾-散 (松下)
XE-0091,0,ASZ-007,,,,94-,,鋁管,乾-散 (松下)
XE-0091,0,SZ032I277,,,,94-,,鋁管,乾-散 (松下)
XE-0091,0,PI-2240,,,,94-,,鋁管,乾-散 (松下)
XE-0091,0,I-277,,,,94-,,鋁管,乾-散 (松下)
XE-0092,1,XE-0092,,VITARA 金吉星,,95-98,,鋁管,2.0 V6 24V 乾-散
XE-0092,0,A18-06-001,,,,95-98,,鋁管,2.0 V6 24V 乾-散
XE-0092,0,I-270,,,,95-98,,鋁管,2.0 V6 24V 乾-散
XE-0093,1,XE-0093,,SOLIO,,02-04,,鋁管,散-風-1 (3分)
XE-0093,0,A18-07-001,,,,02-04,,鋁管,散-風-1 (3分)
XE-0093,0,B-0626,,,,02-04,,鋁管,散-風-1 (3分)
XE-0093,0,SZ047I626,,,,02-04,,鋁管,散-風-1 (3分)
XE-0094,1,XE-0093,,SOLIO,,02-04,,鋁管,散-風-1 (3分)
XE-0094,0,A18-07-001,,,,02-04,,鋁管,散-風-1 (3分)
XE-0094,0,B-0626,,,,02-04,,鋁管,散-風-1 (3分)
XE-0094,0,SZ047I626,,,,02-04,,鋁管,散-風-1 (3分)
XE-0095,1,XE-0095,,SOLIO,,05-,,鋁管,1.3 乾-風-1 (3分) 3彎
XE-0095,0,A18-07-003,,,,05-,,鋁管,1.3 乾-風-1 (3分) 3彎
XE-0095,0,ASZ-013-02,,,,05-,,鋁管,3分散*風1
XE-0095,0,B-0800,,,,05-,,鋁管,3分散*風1
XE-0095,0,SZ082I702,,,,05-,,鋁管,1.3 乾-風-1 (3分) 3彎
XE-0096,1,XE-0096,,SOLIO,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0096,0,SZ083,,,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0096,0,A18-07-004,,,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0096,0,B-0801,,,,,,鋁管,3分散*風2
XE-0097,1,XE-0096,,SOLIO,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0097,0,SZ083,,,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0097,0,A18-07-004,,,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0097,0,B-0801,,,,,,鋁管,3分散*風2
XE-0098,1,XE-0096,,SOLIO,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0098,0,SZ083,,,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0098,0,A18-07-004,,,,,,鋁管,散-風-2 (3分) SW(2P)小牙 8.5mm
XE-0098,0,B-0801,,,,,,鋁管,3分散*風2
XE-0099,1,XE-0099,,PUNTO 奔騰,,94-99,,鋁管,風箱延長管 (5分)
XE-0099,0,A12-02-004,,,,94-99,,鋁管,風箱延長管 (5分)