代碼,顯示名,備註
.5,歐洲,歐洲
1,標,標
1C,白盒,白盒
1G,阪神,阪神
1X,保良,保良
21,帝寶,帝寶
2E,德國,德國
2F,東乾,東乾
2H,東采,東采
2M,東元,東元
2T,大川,大川
2U,東亞,東亞
2U1,大億,大億
2U2,東陽,東陽
2XND,大陸ND,大陸ND
2Z,大豐,大豐
2Z1,東風,東風
3M,3M,3M
52,正道,正道
555,555,555
5A,中美,中美
5B,朝日,朝日
5C,中韓,中韓
5CR,中華件,中華件
5E,中國,中國
5E5,中國製,中國製
5EOET,中國OE廠,中國OE廠
5ET,中國廠,中國廠
5S5,5s5,5s5
5T,正廠,正廠
5T5ET,正廠中國廠,正廠中國廠
5TA1,正廠無包裝,正廠無包裝
5TV,正廠型,正廠型
5X,整理,整理
5XQ,整理品,整理品
66,66,66
911,911,911
9AX,愛馬龍,愛馬龍
A,A級,A級
AAI,AAI,AAI
ABA,ABA,ABA
AC,AC,AC
ACD,ACDELCO,ACDELCO
ACE,ACE,ACE
AD,advics,advics
AE,美國,美國
AI,AISIN,AISIN
AIS,AISAN,AISAN
AK,AKEBONO,AKEBONO
AL,ATLAS,ATLAS
AN,ANCO,ANCO
ANI,ANIMA,ANIMA
APM,APM,APM
APO,APOLLO,APOLLO
AR,ARUFA,ARUFA
ARIO,ARIO,ARIO
ARQ,A級品,A級品
ARS,ARS,ARS
ARUFA,ARUFA,ARUFA
ASU,ASUKI,ASUKI
AT,ATLASBX,ATLASBX
ATE,ATE,ATE
ATS,ATS,ATS
AU,AUSLIN,AUSLIN
AV,麻新,麻新
AV1,麻新,麻新
AVE,墨西哥,墨西哥
AX,麻聯,麻聯
AXVU,馬來西亞,馬來西亞
B,標整理,標整理
B1,日本,日本
B1T,日本廠,日本廠
BA,BANDO,BANDO
BAN,Banner,Banner
BE,BEHR,BEHR
BE1,BERU,BERU
BE2,BEHR HELLA,BEHR HELLA
BG,瑞士,瑞士
BH,BH,BH
BJ,日外,日外
BL,BLACK GOLD,BLACK GOLD
BO,BOSCH 中國,BOSCH 中國
BON,BONBOND,BONBOND
BOS,BOSHI,BOSHI
BR,BREMI,BREMI
BR1,B級,B級
BRE,brembo,brembo
BRR,Brilliant,Brilliant
BS,BS/NCR,BS/NCR
BSG,BSG,BSG
BU,BUBU,BUBU
BX,日立,日立
CA,厚木,厚木
CAFM,CAFM TW,CAFM TW
CAL,CALSONIC,CALSONIC
CAS,Castel,Castel
CCB,CCB,CCB
CD,行快,行快
CE,韓國,韓國
CFW,CFW,CFW
CG,COOL GEAR,COOL GEAR
CH,CHAMPION,CHAMPION
CH1,CH,CH
CHI,CHI,CHI
CM,華域三電,華域三電
CMH,CMH,CMH
CO,CODAN,CODAN
CON,CONTI,CONTI
CORT,CORT,CORT
CRE,黑金鋼,黑金鋼
CRI,CRI,CRI
CS,CSB,CSB
CS1,華南,華南
CS2,漢拿,漢拿
CU,紅鷹,紅鷹
CUQ,紅鷹牌,紅鷹牌
CW,CW,CW
CX,海拉,海拉
CZR,匯豐件,匯豐件
DA,DAYCO,DAYCO
DAC,DACO,DACO
DAI,DAIKIN,DAIKIN
DAN,DANFOSS,DANFOSS
DAV,DAV,DAV
DE ND,DENSO,DENSO
DE1,可光,可光
DE5E,DENSO 中國廠,DENSO 中國廠
DEL,DELPHI,DELPHI
DELCO,DELCO,DELCO
DELEO,DELEO,DELEO
DELK,DELKOR,DELKOR
DEPO,DEPO,DEPO
DEUS,DEUSIC,DEUSIC
DEUT,DEUTSCH,DEUTSCH
DK,DK,DK
DO,DOLZ,DOLZ
DON,DONALDSON,DONALDSON
DR,DREIK,DREIK
DX,恐龍,恐龍
EA,EATON,EATON
EC,國華,國華
EGE,EGELHOF 德國,EGELHOF 德國
EI,EIKO,EIKO
EL,ELITECH,ELITECH
EM,EMERSON,EMERSON
EN,Energizer,Energizer
ER,國際,國際
ERR,ERRECOM,ERRECOM
ETEQ,E車E拍,E車E拍
EWU,固特易USA,固特易USA
EWU5E,固特易中國,固特易中國
EX,EXEDY,EXEDY
F2,僑電,僑電
FAG,FAG,FAG
FBJ,FBJ,FBJ
FBK,FBK,FBK
FBM,FBM,FBM
FD,FD,FD
FE,FERODO,FERODO
FHR,清倉件,清倉件
FI,FIAMM,FIAMM
FIL,FILDA,FILDA
FL,FLENNOR,FLENNOR
FLE,Fleetguard,Fleetguard
FO,FORTE,FORTE
FON,FONRAY,FONRAY
FR,法國,法國
FSL,FSL 佛山,FSL 佛山
FSW,FSW,FSW
FU,FUJIKOKI,FUJIKOKI
FU1,千億,千億
FUCH,德國福仕,德國福仕
FUCHS,FUCHS,FUCHS
FWD,FWD,FWD
G2,士電,士電
GA,GATES,GATES
GATE,GATE,GATE
GC,水貨,水貨
GCZXJ,上海法雷奧,
GCZXL,上海法雷奧,上海法雷奧
GE,GE,GE
GEN,GEN,GEN
GG,雙樹德國,雙樹德國
GMB,GMB,GMB
GPD,GPD,GPD
GQK,G.Q.K,G.Q.K
GRT,世界初,世界初
GS,GS,GS
GU,GUNK,GUNK
GU1,尚億,尚億
GX,勝利,勝利
GX1,士林,士林
GXV,士林型,士林型
HA,HALOGEN,HALOGEN
HAN,HANSHIN,HANSHIN
HANON,HANON,HANON
HAUG,HAUG,HAUG
HB,HB,HB
HBC,HBC,HBC
HCC,HCC 韓國,HCC 韓國
HE,HELLA,HELLA
HEN,HENGST,HENGST
HEPU,HEPU,HEPU
HEX,HEXA,HEXA
HH,HH,HH
HKT,HKT,HKT
HO,HoneyWell,HoneyWell
HQ,HQ,
HU,HUTCHISON,HUTCHISON
IBC,IBC,IBC
IC,ICER,ICER
IKO,IKO,IKO
INA,INA,INA
JA,JAGO,JAGO
JA1,文明,文明
JA2,文明,文明
JC,外匯,外匯
JCV,外匯新,外匯新
JET,JET,JET
JI,JIDEO,JIDEO
JID,JIDECO,JIDECO
JL,JL,JL
JOHO,JOHO,JOHO
JTC,JTC,JTC
JU,JURID (德國),JURID (德國)
JW,瓦特,瓦特
JX,萬力,萬力
JY,萬在,萬在
JY5T,萬在正廠,萬在正廠
JYOE,萬在供正廠,萬在供正廠
KA,KAWASAKI,KAWASAKI
KAE,KAE,KAE
KAI,KAIFA,KAIFA
KE,KENCHT,KENCHT
KI,KIENZLE,KIENZLE
KIKI,KIKI,KIKI
KLAX,KLAXON,KLAXON
KO,KOITO,KOITO
KOR,KOR,KOR
KOREA,KOREA,KOREA
KOY,KOY,KOY
KOYO,KOYO,KOYO
KSS,KSS,KSS
KYB,KYB (日本),KYB (日本)
KYBT,KYB (台灣),KYB (台灣)
KYK,KYK,KYK
LI,LIFE,LIFE
LID,LIDI,LIDI
LIDA,LIDA,LIDA
LPR,LPR,LPR
LU,LUK,LUK
LUC,LUCAS,LUCAS
LWR,奧特佳,奧特佳
M2,宇敦,宇敦
M5,永彰 OE正廠,永彰 OE正廠
MA,MATSUSHITA,MATSUSHITA
MA1,悅米,悅米
MAHLE,MAHLE,MAHLE
MANN,MANN,MANN
MAP,MAPCO,MAPCO
MAR,MARELLI,MARELLI
MBS,MBS,MBS
ME,MEXICO,MEXICO
MEY,MEYLE,MEYLE
MEYLA,MEYLA,MEYLA
MI,MITSUBA,MITSUBA
MICRO,MICRO,MICRO
MIN,MINTYE,MINTYE
MIND,Mindman,Mindman
MIT,MITSUBISHI,MITSUBISHI
MLH,MLH,MLH
MO,MONROE,MONROE
MOB,MOBIS,MOBIS
MOL,MOLI,MOLI
MON,MONARK,MONARK
MONR,MONROE,MONROE
MT,原廠,原廠
MUR,裕益件,裕益件
MXR,裕隆件,裕隆件
NA,NARVA,NARVA
NA1,NACHI,NACHI
NA2,NA,NA
NACHI,NACHI,NACHI
NC,三環,三環
NC1,三花,三花
NCR,NCR,NCR
NDK,NDK,NDK
NE,New-Era,New-Era
NGK,NGK,NGK
NGKC,NGK中國,NGK中國
NGKK,NGK韓國廠,NGK韓國廠
NGKT,NGK泰國廠,NGK泰國廠
NI,NIKKO,NIKKO
NIL,NILES,NILES
NIS,NIS,NIS
NOK,NOK,NOK
NPW,NPW,NPW
NSK,NSK,NSK
NT,松川,松川
NTK,NTK,NTK
NTKV,NTK型,NTK型
NTN,NTN,NTN
NU,三陽,三陽
NUK,NUK,NUK
NUR,裕益件,裕益件
NV,三星,三星
NWB,NWB,NWB
NX,三菱,三菱
NX25,三菱電裝,三菱電裝
NXA2,三菱馬達,三菱馬達
OE5E,OE中國,OE中國
OE5T,OE正廠,OE正廠
OEM,OEM,OEM
OI,OIGAWA,OIGAWA
OM,OMRON,OMRON
ON,ON,ON
OP,Optibelt,Optibelt
OR,OREO,OREO
OS,OSRAM,OSRAM
OS5E,OSRAM 中國,OSRAM 中國
PA,PARAUT,PARAUT
PADO,PADO,PADO
PAG,PAGID,PAGID
PH,PHILIPS,PHILIPS
PIU,PIUSI (義大利),PIUSI (義大利)
PIX,PIX-英國,PIX-英國
PO,POLAND,POLAND
PR,PRIMACR,PRIMACR
PRC,PRC,PRC
PRO,PRO,PRO
PUR,PURFLUX,PURFLUX
QG,PISEN 品勝,PISEN 品勝
QP,QP,QP
R2,傑電,傑電
RA,吉茂,吉茂
RARE,RARE,RARE
RBH,RBH,RBH
RC,峻輝,峻輝
RC1,經惠,經惠
RD,進口,進口
RE,REMSA,REMSA
RE1,極光,極光
RH,RH,RH
RI,RISING,RISING
RO,ROBINAIR,ROBINAIR
ROU,ROULUNDS,ROULUNDS
ROY,ROYAL,ROYAL
RQ,舊品,舊品
RT,精創,精創
RX2,金雷達,金雷達
RY RAY,RAYEX 瑞鎰,RAYEX
RZ,金峰,金峰
SA,SAKURA,SAKURA
SAC,sachs,sachs
SAG,SAGLNOMIYA,SAGLNOMIYA
SAH,SAH,SAH
SAN N2,SANDEN,SANDEN
SAN5E,SANDEN 中國,SANDEN 中國
SAW,SAWAFUJI,SAWAFUJI
SC,Schneider 施耐德,Schneider 施耐德
SCA,SCANIA,SCANIA
SCB,SCB,SCB
SE,SEIKO,SEIKO
SEI,SEIKEN,SEIKEN
SH,SHOWA,SHOWA
SHA,Shark,Shark
SHI,SHIMAHI,SHIMAHI
SIL,SIL,SIL
SK,SKC,SKC
SKF,SKF,SKF
SP,三電中國,三電中國
SPA,SPAIN,SPAIN
SPH,SPHEROS,SPHEROS
SQ,鳥牌,鳥牌
SS,SS,SS
SSP,SSP,SSP
ST,STANLEY,STANLEY
ST1,STAND,STAND
SUM,SUM,SUM
SUN,SUN,SUN
SUNISO,SUNISO,SUNISO
SUNOCO,SUNOCO,SUNOCO
SWF,SWF,SWF
SY,SY,SY
SYL,SYLVANIA,SYLVANIA
T0,長安,長安
TA,TALY,TALY
TAC,TACOO,TACOO
TACTI,TACTI,TACTI
TAMA,TAMA,TAMA
TBK,TBK,TBK
TC,TC,TC
TE,TE,TE
TEMP,TEMP,TEMP
TEND W2,TEND(天得),TEND(天得)
TER,TER,TER
TEX,TEXTAR (德國),TEXTAR (德國)
TG,TGK,TGK
TH,THREEBOND,THREEBOND
TJ2,車王電,車王電
TJB,TJB,TJB
TK,TIMKEN,TIMKEN
TO,TOSHIBA,TOSHIBA
TOHO,TOHO,TOHO
TOK,TOKICO,TOKICO
TOKA,TOKAWA,TOKAWA
TOP,Toplite,Toplite
TOR,TORICA,TORICA
TORC,TORC,TORC
TOY,TOYOEL,TOYOEL
TOYO,TOYO,TOYO
TP,TP,TP
TR,TR,TR
TRI,TRIFA,TRIFA
TRIDON,TRIDON,TRIDON
TS,TUNGSRAM,TUNGSRAM
TT,拆車,拆車
TTO,TTO,TTO
TU,TUNGSRAM,TUNGSRAM
TWN,TWN,TWN
TYC,TYC,TYC
U2X,義大利,義大利
UBC,優融行,優融行
UC,櫻花,櫻花
UE,英國,英國
UN,UNITTA,UNITTA
UN1,UNINO,UNINO
UNI,UNI,UNI
UNIC,UNICAR,UNICAR
UNID,UNIDA,UNIDA
UNION,UNION,UNION
UNIS,UNISIA,UNISIA
UNITTA,UNITTA,UNITTA
UQ,優品,優品
V2,西德,西德
V2VC,西德小虎,西德小虎
VA,Valeo,Valeo
VAI,VAIC,VAIC
VALUE,Value,Value
VAR,VARTA,VARTA
VAY SIE,SIEMENS 西門子,SIEMENS (西門子)
VB,欣融,欣融
VDO,VDO,VDO
VE,香港,香港
VER,VERSACHEM 美國威獅,VERSACHEM 美國威獅
VI,VISTION,VISTION
VIC,VIC,VIC
VIT,VITON,VITON
VOX,VOXLUBE,VOXLUBE
VQ,西皮,西皮
VQ1,新品,新品
VQ5E,新品中國,新品中國
VTR,信昌件,信昌件
W5,台製,台製
WA,WAGMER,WAGMER
WAB,WABCO,WABCO
WATT,WATT,WATT
WE,泰國,泰國
WEL,WELCOLD,WELCOLD
WF,台全,台全
WIX,WIX,WIX
WJ25,台灣電裝,台灣電裝
WJ5,台灣製,台灣製
WJBX,台灣日立,
WJZXL,台灣法雷奧,台灣法雷奧
WT,WELL-TECH,WELL-TECH
WUQ,太陽牌,太陽牌
XE,XENCN,XENCN
XU,龍一,龍一
XZ,良飛,良飛
Y,Y-KYB,Y-KYB
YA,YAZAKI,YAZAKI
YAN,YANMAR,YANMAR
YC,YC,YC
YCC,YCC,YCC
YEC,YEC,YEC
YG,鑽石牌,鑽石牌
YJ,YELLOW JACK,YELLOW JACK
YO,YOKOWA,YOKOWA
YU,YUASA,YUASA
YWQ,總統牌,總統牌
Z1,福寶,福寶
ZC,福華,福華
ZE,風管,風管
ZE1,法國,法國
ZEBB,ZEBB,ZEBB
ZEX,ZEXEL,ZEXEL
ZQ,飛鵬,飛鵬
ZS,仿鳥,仿鳥
ZT,副廠,副廠
ZX,飛鹿 DEER,飛鹿 DEER
ZZZZZZZZZZZZZZZ,已刪除品牌資料,已刪除品牌資料
ZZZZZZZZZZZZZZZZZZZZ,已刪除品牌資料,已刪除品牌資料