代碼,顯示名,廠牌
*,,
.,,
0.1,歐霸,
1G,巴士,
1W,寶騰蓮花,
1WG,GEN.2,
1WJU,JUNBUC,
1WJX,威菱,
1WSA,寶騰 SAVVY,
1WWI,WIRA,
21,電巴,
2C,調貨,
2ER,堆高機,
2T,吊車,
2U5,德意志,
2WU,多田野 (TADANO),
2Y,訂做,
2Z,代付,
5M,專用,
5RV,重機械,
5U SUM,住友 SUMITOMO,
AC,ACURA 安古拉,
ACDO,DOMATNE,
ACIN,INTEGRA 完全 (DC2),
ACLE,LEGEND 傳說,
ACMDX,MDX,
ACNSX,NSX,
ACVI,VIGOR 活力,
AIR,AIRMAN (日本北越),AIRMAN
AL159,ALFA ROMIO 159,ALFA ROMIO
AL166,ALFA ROMIO 166,ALFA ROMIO
AR,愛快,ALFA ROMIO
AR145,愛快 145,ALFA ROMIO
AR146,愛快 146,ALFA ROMIO
AR147,愛快 147,ALFA ROMIO
AR155,愛快 155,ALFA ROMIO
AR156,愛快 156,ALFA ROMIO
AR158,愛快 158,ALFA ROMIO
AR164,愛快 164,ALFA ROMIO
AR166,愛快 166,ALFA ROMIO
AR168,愛快 168,ALFA ROMIO
AR33,愛快 33,ALFA ROMIO
AR75,愛快 75,ALFA ROMIO
AR90,愛快 90,ALFA ROMIO
ARBR,BRERA,
ARGTV,愛快 GTV,ALFA ROMIO
ARSP,愛快 SPIDER,ALFA ROMIO
ARV6,愛快 V6,ALFA ROMIO
AT,ATLAS,
AU,奧斯丁,
AUD,AUDI 奧迪,AUDI
AUD100,AUDI 100,AUDI
AUD156,AUDI 156,AUDI
AUD80,AUDI 80,AUDI
AUD90,AUDI 90,AUDI
AUDA1,AUDI A1,AUDI
AUDA2,AUDI A2,AUDI
AUDA3,AUDI A3,AUDI
AUDA4,AUDI A4,AUDI
AUDA4C,AUDI A4 CABRIOLET,AUDI
AUDA5,AUDI A5,AUDI
AUDA6,AUDI A6,AUDI
AUDA7,AUDI A7,AUDI
AUDA8,AUDI A8,AUDI
AUDAU,AUDI QUATTRO,AUDI
AUDQ2,AUDI Q2,AUDI
AUDQ3,AUDI Q3,AUDI
AUDQ5,AUDI Q5,AUDI
AUDQ7,AUDI Q7,AUDI
AUDQ8,AUDI Q8,AUDI
AUDR8,R8,AUDI
AUDRS3,RS3,AUDI
AUDRS6,RS6,AUDI
AUDS3,AUDI S3,AUDI
AUDS4,AUDI S4,AUDI
AUDS5,AUDI S5,AUDI
AUDS6,AUDI S6,AUDI
AUDS8,AUDI S8,AUDI
AUDSQ5,AUDI SQ5,AUDI
AUDTT,AUDI TT,AUDI
AUSCO,MINI COOPER,MINI
AUSMI,MINI 迷你,
AUSMO,MONTEGO 猛地哥,
AUSON,MINI ONE,MINI
BENZ GLB,BENZ GLB,M BENZ
BM,BMW,BMW
BM1,BMW 1,BMW
BM2,BMW 2,BMW
BM3,BMW 3,BMW
BM4,BMW 4,BMW
BM5,BMW 5,BMW
BM6,BMW 6,BMW
BM7,BMW 7,BMW
BMB47,BMW B47,BMW
BME23,BMW E23 (7系列),BMW
BME24,BMW E24 (6系列),BMW
BME28,BMW E28 (5系列),BMW
BME30,BMW E30 (3系列),BMW
BME31,BMW E31 (8系列),BMW
BME32,BMW E32 (7系列),BMW
BME34,BMW E34 (5系列),BMW
BME36,BMW E36 (3系列),BMW
BME38,BMW E38 (7系列),BMW
BME39,BMW E39 (5系列),BMW
BME46,BMW E46 (3系列),BMW
BME60,BMW E60 (5系列),BMW
BME61,BMW E61 (5系列) 旅行車,BMW
BME63,BMW E63 (6系列) 硬頂04-,BMW
BME64,BMW E64 (6系列) 敞篷04-,BMW
BME65,BMW E65 (7系列),BMW
BME66,BMW E66 (7系列),BMW
BME72,BMW E72 (X6油電車),BMW
BME81,BMW E81 (1系列),BMW
BME82,BMW E82 (1系列),BMW
BME87,BMW E87 (1系列),BMW
BME90,BMW E90 (3系列),BMW
BME91,BMW E91 (Touring),BMW
BME92,BMW E92 (3系列),BMW
BME93,BMW E93 (3系列) 敞篷車,BMW
BMF01,BMW F01 (7系列),BMW
BMF02,BMW F02 (7系列),BMW
BMF06,BMW F06 (6系列),BMW
BMF07,BMW F07 (GT5系列),BMW
BMF10,BMW F10 (5系列),BMW
BMF11,BMW F11 (5系列) TOURING,BMW
BMF12,BMW F12,BMW
BMF13,BMW F13 (6系列),BMW
BMF15,BMW F15 (X5系列) 14-,BMW
BMF16,BMW F16 (X6系列) 14-,BMW
BMF20,BMW F20 (1系列),BMW
BMF21,BMW F21 (1系列),BMW
BMF22,BMW F22 (2系列),BMW
BMF25,BMW F25 (X3系列),BMW
BMF26,BMW F26 (X4系列),BMW
BMF30,BMW F30 (3系列),BMW
BMF32,BMW F32 (4系列),BMW
BMF34,BMW F34 (GT3系列),BMW
BMF35,BMW F35 (3系列),BMW
BMF36,BMW F36 (4系列),BMW
BMF39,BMW X2 (F39),BMW
BMF45,BMW F45 (2系列),BMW
BMF46,BMW F46 (2系列),BMW
BMF48,BMW X1 (F48),BMW
BMF49,BMW X1 (F49),BMW
BMF80,BMW F80 (3系列),BMW
BMF87,BMW F87,BMW
BMG01,BMW G01 (X3),BMW
BMG02,BMW G02 (X4),BMW
BMG05,BMW G05 (X5),BMW
BMG06,BMW G06 (X6系列),BMW
BMG07,BMW G07 (X7系列),BMW
BMG08,BMW G08 (IX3系列),BMW
BMG11,BMW G11 (7系列),BMW
BMG12,BMW G12 (7系列)長版,BMW
BMG20,BMW G20 (3系列),BMW
BMG21,BMW G21 (3系列),BMW
BMG29,BMW G29 (Z4),BMW
BMG30,BMW G30 (5系列) 4門,BMW
BMG31,BMW G31 (5 series) 5門,BMW
BMG32,BMW G32 (系列),BMW
BMI3,BMW I3,BMW
BMM5,BMW M5 (7系列),BMW
BMMI,MINI COOPER,BMW
BMMIF55,MINI COOPER (F55)14-,BMW
BMMIF56,MINI COOPER (F56)14-,BMW
BMMIF60,MINI COUNTRY MAN(F60),BMW
BMMIR55,MINI COOPER(R55),BMW
BMMIR56,MINI COOPER (R56)06-13,BMW
BMMIR60,MINI COOPER (R60),BMW
BMX1,BMW X1 (E84),BMW
BMX1E84,BMW E84 (X1),BMW
BMX2,BMW X2,BMW
BMX3,BMW X3,BMW
BMX3E83,BMW E83 (X3系列),BMW
BMX3F25,BMW F25 (X3系列),BMW
BMX4,BMW X4,BMW
BMX5,BMW X5,BMW
BMX5E53,BMW E53 (X5系列) 00-06,BMW
BMX5E70,BMW E70 (X5系列) 07-13,BMW
BMX5F15,BMW F15 (X5系列) 14-,BMW
BMX6,BMW X6,BMW
BMX6E71,BMW E71 (X6系列) 08-,BMW
BMX6E72,BMW E72 (X6系列),BMW
BMX7,BMW X7,BMW
BMZ1,BMW Z1,BMW
BMZ3,BMW Z3,BMW
BMZ4,BMW Z4 (E85),BMW
BOB,BOBCAT,
BU,BUICK 別克,GM
BUCE,CENTURY 世紀,GM
BUEL,ELECTRA 電力,GM
BUEX,EXCELLE,GM
BULA,LaCROSSE,GM
BULE,LESABRE 神劍,GM
BUPA,PARK AVENUE 林陰大道,GM
BURE,REGAL 尊爵,GM
BUREN,RENDEZVOUS,GM
BUS,BUS 巴士,
BUSK,SKYLARK 天鷹,GM
BX HIT,日立 Hitachi,HITACHI
BX101,日立 101型,HITACHI
BX200,日立 200型,HITACHI
BX450,日立 450型,HITACHI
CAAL,ALLANTE 愛娜騰,GM
CABR,BROUGH AM 不勞漢,GM
CACA,CADILLAC 凱迪拉克,GM
CACAT,CATERA,GM
CACI,CIMARRON 西馬隆,GM
CACO,CONCOURS 康豪,GM
CACTS,CTS,GM
CADE,DEVILLE 丹妃爾,GM
CADSE,CADILLAC SEVILESTS,GM
CADTS,DTS,GM
CAEL,ELDORADO 寶成,GM
CAFL,FLEETWOOD 白宮,GM
CAMC,CAMC 華菱重卡,GM
CASE,SEVILLE 西妃爾,GM
CASRX,SRX,GM
CASTS,STS,GM
CAT,CATERPILLAR (美國怪手),CAT
CAXLR,XLR,
CGR,冷煤回收機,
CHE,CHEVROLET 雪佛蘭,GM
CHEBE,BERETTA 銳達,GM
CHEBL,BLAZER,GM
CHECA,CAVALIER 遊騎兵,GM
CHECAM,CAMARO 卡馬洛,GM
CHECE,CELEBRITY 慶典,GM
CHECO,CORSICA 科西加,GM
CHECOR,CORVETTE 康費特,GM
CHEGMC,GMC 小坦克,GM
CHELU,LUMINA 星晨,GM
CHES10,S-10 客貨車,GM
CHESI,SILVERADO,GM
CHETR,TRACKER,GM
CHR,CHRYSLER 克萊斯勒,CHRYSLER
CHR300C,300C,CHRYSLER
CHR300M,300M,CHRYSLER
CHRAC,ACCLAIM,CHRYSLER
CHRCA,CARAVAN 休旅車,CHRYSLER
CHRCH,CHEROKEE 吉普車,CHRYSLER
CHRCO,CONCORD 協和,CHRYSLER
CHRCR,CRAFTER,CHRYSLER
CHRDA,DAKODA,CHRYSLER
CHRDR,DODGE RAM,CHRYSLER
CHREA,EAGLE,CHRYSLER
CHRIM,IMPERIAL 帝王,CHRYSLER
CHRLE,LEBARON 雷巴隆,CHRYSLER
CHRLHS,LHS,CHRYSLER
CHRNE,NEON 霓虹,CHRYSLER
CHRNY,NEW YORKER 紐約客,CHRYSLER
CHROM,OMINI,CHRYSLER
CHRPA,PACIFICA,CHRYSLER
CHRPC,PT CRUISER,CHRYSLER
CHRPT,PT CRUISER,CHRYSLER
CHRRAM,RAM,CHRYSLER
CHRRE,REGAL,CHRYSLER
CHRSC,SENRING COMVERTIBLEB,CHRYSLER
CHRSE,SEBRING,CHRYSLER
CHRSH,SHADOW,CHRYSLER
CHRSP,SPIRIT靈瑞,CHRYSLER
CHRST,STRATUS 捲雲,CHRYSLER
CHRTC,TOWN-COUNTRY,CHRYSLER
CHRVO,VOYAGER 航行者,CHRYSLER
CHRVOY,VOYAGER,CHRYSLER
CHRWR,WRANELER (藍哥),CHRYSLER
CI,雪鐵龍,CITRON
CIAX,雪鐵龍 AX,CITRON
CIBE,BERLINGO(布丁狗),CITRON
CIBX,雪鐵龍 BX,CITRON
CIC1,雪鐵龍 C1,CITRON
CIC15,雪鐵龍 C15,CITRON
CIC2,雪鐵龍 C2,CITRON
CIC25,雪鐵龍 C25,CITRON
CIC3,雪鐵龍 C3,CITRON
CIC4,雪鐵龍 C4,CITRON
CIC5,雪鐵龍 C5,CITRON
CIC6,雪鐵龍 C6,CITRON
CIC8,雪鐵龍 C8,CITRON
CICT,雪鐵龍 CT,CITRON
CICX20,雪鐵龍 CX 20,CITRON
CICX22,雪鐵龍 CX 22,CITRON
CIDS5,DS5,CITRON
CIEV,EVASION,CITRON
CIN7,雪鐵龍 N7,CITRON
CIPI,PICASSO,CITRON
CIPL,PLURIEL,CITRON
CISA,雪鐵龍 SAXO,CITRON
CIXA,雪鐵龍 XANTIA 1.8,CITRON
CIXAN,雪鐵龍 XANTIA 2.0,CITRON
CIXJ,來旺,CITRON
CIXM,雪鐵龍 XM,CITRON
CIXS,XSARA,CITRON
CIXZ,雪鐵龍 XANTIA 1.6,CITRON
CIZM,雪鐵龍 ZM,CITRON
CIZX,雪鐵龍 ZX,CITRON
CU,CUMMINS 康明斯,CITRON
CV,紅星,
CVN,火星塞,
D20712,肯達 07-12,
D214,肯達 14-,
D296,肯達 96-,
DAE,DAEWOO 大宇,
DAEES,ESPERO 愛斯波羅,
DAEFA,FANTASY 超前者,
DAELA,LANOS,
DAELE,LEGANZA,
DAEMA,MAGNUS,
DAENU,NUBIRA,
DAETA,TACUMA,
DAETI,TICO,
DAEVI,VIDA,
DAEWT,扥車頭,
DAF,DAF,
DAFCF,DAF CF,
DAFLF,DAF LF,
DAI,大發,
DAICH,CHARADE,
DAICO,COO,
DAICOP,COPEN,
DAICV2G,飛行大師,
DAICY,好載,
DAIGC2G,生活大師,
DAIJ5,穩賺,
DAIRCY,金好載,
DAISI,SIRION 小精靈,
DAISK,SKYWING,
DAISO,SOCIAL,
DAITER,TERIOS 小悍馬,
DAIUU,銀翼,
DAIV78,大發78,
DAIVB,祥瑞,
DAIVRX,小精靈,
DAIVV,新象,
DAIVVMI1,新象 MI16,
DAN,卡瑪斯 KAMAZ,
DAWTW,大宇 拖車頭,
DE,DELTA,
DEL,DELCO,
DF2JZ,大穩發,
DFSK,東風,
DFV,空氣芯,
DO,DODGE 道奇,
DODA,DAYTONA/ARIES 帝特,
DOOM,OMNI 歐迷你,
DOSH,SHADOW 雪德,
DOT2,DYNASTY 朝代,
E0,國安,
E350,E350,
E5F,感知器,
EAME,MEDALLION,
EAPR,PREMIER 首相,
EATA,TALON 太龍,
EAUNR,請更換散熱片及清洗管路,
EAVI,VISION 鷹眼,
EDYUT,高空作業車,
EEC,國光號,
EG,怪手,
EMR,耕耘機,
ETEQ,E車E拍,
EUE,EUE,
EUM,工業用,
EUV,高壓線,
FI,FIAT 飛雅特,
FI100S,REGATA 100S 飛艇,
FI85S,REGATA 85S   飛艇,
FIBA,barchetta,
FIBR,BRAVO,
FIBRA,BRAVA,
FICO,COUPE,
FICR,CROMA 克拉馬,
FIDE,FIAT DEDRA,
FIDU,DUCATO,
FIFO,FIORINO,
FIID,IDEA,
FIMA,MAREA,
FIPA,PANDA,
FIPU,PUNTO 奔騰,
FIST,STILO,
FITE,TEMPRA 天賦異稟,
FITI,FIAT TIPO,
FITV5,FIAT 超前者,
FIUL,ULYSSE,
FIUN,FIAT UNO,
FIUNO70S,UNO 70S 遊龍,
FO,福特,
FO2C2,SABLE 大黑貂,
FOAC,ACTIVA,
FOAZ,AZTEC,
FOC1G,好幫手 PRONTO,
FOE150,E150,
FOE250,E250,
FOE350,E350,
FOEC,ECOSPORT,
FOES,ESCAPE,
FOESC,ESCORT,
FOEX,EXPLORER,
FOF150,F150,
FOF350,F350,
FOFE,FESTIVA 嘉年華,
FOFI,FIESTA,
FOFO,FOCUS,
FOFRE,FREESTAR,
FOGLS,金全壘打,
FOIM,I-MAX,
FOKU,KUGA,
FOLI,LIATA,
FOLS,全壘打,
FOMA,MAXI,
FOMAV,MAV,
FOME,METROSTAR,
FOMO,MONDEO,
FOMO2,MONDEO M2000,
FOMU,MUSTANG,
FOOR,ORION,
FOPRZ,PRZ,
FOPU,PUMA,
FOQGC,ECONOLINE 爬山虎,
FOQW,跑天下,
FOR,台塑,
FOR1C,MAGNUS 台朔一號,
FOR2C,MATIZ 台朔二號,
FOR3C,MAGNUS 台朔三號,
FORA,RANGER,
FORAT,ATOS,
FORLA,LANOS,
FORLE,LEGAZA,
FORNU,NUBIRA,
FORR,金箭貂 PROBE,
FORS2,金牛貂 TAURUS,
FORTU,TUCUMA,
FOS1-,諾貝爾,
FOSC,天蠍星 (SCORPIO),
FOSM,S-MAX,
FOTA,TAURUS,
FOTE,TELSTAR,
FOTGR,AEROSTAR/穿山甲,
FOTI,TIERRA,
FOTO,TOURNEO 旅行家,
FOTR,TRANSIT,
FOTX,TX3,
FOTX5,TX5,
FOUA,野馬 MUSTANG,
FOUG,雅士 ESCORT,
FOURG,眼鏡蛇,
FOVB,新銳,
FOVC2,TOPAZ 小黑貂,
FOVI,VIVID,
FOW2T,福特 拖吊車,
FOWA,CLUB WAGON,
FOWI,WINDSTAR,
FOWJV,天王星,
FOWQ,天譜 TEMPO,
FOXD,林肯,
FOXS,THUDERBIRD 雷鳥,
FOYD2,載卡多,
FTCV,汽車花線,
FU,FUSO,
FU1G,FUSO 巴士,
FU217,FUSO FH-217,
FU240,FUSO 240,
FU305,FUSO 305,
FU310,FUSO 310,
FU313,FUSO 313,
FU315,FUSO 315,
FU320,FUSO 320,
FU330,FUSO 330,
FU335,FUSO 335,
FU350,FUSO 350,
FU355,FUSO 355,
FU380,FUSO 380,
FU385,FUSO 385,
FU401,FUSO 401,
FU410,FUSO 410,
FU416,FUSO FK-416,
FU417,FUSO FK-417,
FU444,肯達 FE-444,
FU510,FUSO FP-510,
FU515,FUSO FM-515 6D14-AT,
FU517,FUSO FM-517,
FU519,FUSO FM-519,
FU537,肯達 FE-537,
FU557,FUSO FM-557 6D16T,
FU617,FUSO FK-617,
FU618,FUSO MP-618,
FU647,肯達 FE-647,
FU657,FUSO FM-657 6D16-1AT2 / 6D16-3AT2B,FUSO
FU659,FUSO FE-659,
FUFH2,FUSO FH-217,
FUFK3,FUSO FK-330,
FUFK4,FUSO FK-417,
FUFK6,FUSO FK-617,
FUFM617,FUSO FM617,
FUFM65,FUSO FM65F 17T,
FUFP51,FUSO FP-51,
G1,山貓,
GA,山貓,
GE,GEO,
GM,GM,
GM1RV,北極星,
GMC,GMC,
GMCE,CENTURY 2.8 世紀,
GMEX,EXCELLE,
GMFB,FIRBIRD 火鳥,
GMGA,GRAND AM,
GMRE,REGAL 尊爵,
GMSB,SUN BIRD 太陽鳥,
GMSH,SKY HAWK,
GMSL,SKY LARK,
GRRA2YT,升降機馬達總成,
GV,水箱,
GX,雙龍,
GXKO,KORANDO,
GXST,STAVIC,
HAH2,HAMMER H2 (悍馬車),
HAH3,H3 (悍馬車),
HI,HINO 國瑞,
HI200,HINO 200,HINO
HI240,HINO 國瑞240P,
HI255,HINO 國瑞255P,
HI2R,大將,
HI300P,HINO 巴士 300P,
HI700,HINO F-700,HINO
HIF300 HI300,HINO F-300,
HIF500 HI500,HINO F-500,HINO
HIF700 HI700,HINO F-700,HNO
HIFS,HINO FS/SH,
HIMR,HINO 勇將,
HIV2R,新大將,
HIVZR,新福將,
HIZR,福將,
HO,本田,
HO1.2,喜美,
HO1.4,喜美 1.4,
HO12V,喜美 12V,
HO16V,喜美 16V,
HOAC,ACCORD,
HOAC10,ACCORD 10代,
HOAC8,ACCORD 8代,
HOAC9,ACCORD 9代,
HOACU,ACURA,
HOCI,CITY,
HOCIV,CIVIC,
HOCIV11,CIVIC 11代,
HOCIV5,CIVIC 5代,
HOCIV6,CIVIC 6代,
HOCIV7,CIVIC 7代,
HOCIV8,CIVIC 8代,
HOCIV9,CIVIC 9代,
HOCIVSI,CIVIC SI,
HOCRV,CRV,
HOCRZ,CRZ,
HOCV3,CV3,
HODO,DOMANI,
HOEL,ELEMENT,
HOFE HOK10,FERIO,
HOFI,FIT,
HOFRV,FR-V,
HOHRV,HR-V,
HOIN,INSIGHT,HONDA
HOINT,INTEGRA,
HOK11,K11,
HOK12,K12,
HOK20,K20,
HOK24,K24,
HOK5,雅歌 K5,
HOK6,K600,
HOK7,雅歌 K7,
HOK8,K800,
HOK9,雅歌 K9,
HOLE,LEGEND,
HOLEG,LEGEND,
HOMDX,MDX,
HOOD,ODYSSEY,
HOPR,PRELUDE,
HORI,RIDGEL (皮卡 水貨車),
HOS2000,S2000,
HOST,STREAM 海豚,
HOTY,TYPE R,
HOUA,ACCORD UA,
HS,,MG
HUH2,H2,
HUH3,H3,
HY,現代,
HYAC,ACCENT,
HYAT,ATOS 1.0,
HYAZ,HYUNDAI AZERA 3.3,
HYCO,COUPE,
HYCU,CUSTIN,
HYEL,ELANTRA 金牌,
HYEX,EXCEL 卓越,
HYGA,GALLOPER 佳樂豹,
HYGE,GETZ,
HYGEN,GENESIS,
HYGR,GRANDEUR,
HYHD35,HD35,
HYI10,i10,
HYI30,i30,
HYI35,i35,
HYI40,I40,
HYIO,HYUNDAI IONIQ,HYUNDAI
HYIX35,IX35,
HYIX45,IX45,
HYKO,KONA,KIA
HYLA,LAVITA,
HYLE,LEGANZA,
HYMA,MATRIX,
HYMI,MIGHTY,
HYPO,PORTER,
HYQ20,Q20,
HYSA,SANTA FE,
HYSAN,SANTAMO,
HYSO,SONATA 雙納塔,
HYST,STELLAR 駿馬,
HYSTA,STAREX,
HYSTAR,STARIA,
HYTE,TERRACAN,
HYTI,TIBURON,
HYTR,TRAJET,
HYTU,TUCSON,
HYVE,VELOSTER 跑車,
HYVEN,VENUE,
HYVER,VERNA,
HYXG,XG,
IN,INFINITI,
INEX35,EX35,
INFX35,FX35,
INFX45,FX45,
ING20,G20,
ING25,G25,
ING35,G35,
ING37,G37,
INI30,I30,
INJ30,J30,
INJX35,JX35,
INM25,M25,
INM35,M35,
INM37,M37,
INM45,M45,
INQ30,Q30,
INQ45,Q45,
INQ50,Q50,
INQ60,Q60,
INQ70,Q70,
INQX30,QX30,
INQX4,QX4,
INQX50,QX50,
INQX60,QX60,
INQX70,QX70,
INR50,R50,
INS50,S50,
IS,ISUZU,
IS200,ISUZU 200P,
IS239,ISUZU 239P,
ISCC1,好伙伴,
ISELF,ELF,
ISELF24V,ELF 一路發 24V,
ISEXR,EXR,
ISFR,FRR,
ISFRR,FRR,
ISFSR,FSR,
ISFTR,FTR,
ISFTV,FVR,
ISFWR,IS17.5T,
ISNHR,NHR,
ISNKR,NKR,
ISNLR,NLR,
ISNMR,NMR,
ISNPR,NPR,
ISNQR,NQR,
ISNRR,NRR,
ISPA,PANTHER 福豹,
ISRO,RODEO 陸地龍,
ISSBR,SBR,
ISTR,TROOPER,
ISV10,ISUZU V-10,
IV,IVECO 歐霸,
IVDA,IVECO DAILY,IVECO
JA,JAGUAR 積架,
JADA,DAIMLER,
JAFP,JAGUAR F-PACE,
JAFT,JAGUAR F-TYPE,
JAST,JAGUAR S-TYPE,
JAVA,VANDEN PLAS,
JAXE,XE,
JAXF,XF,
JAXJ,JAGUAR XJ,
JAXJ40,JAGUAR XJ40,
JAXJ6,JAGUAR XJ6,
JAXJ8,JAGUAR XJ8,
JAXJ8L,XJ8L,
JAXJR,JAGUAR XJR,
JAXJS,JAGUAR XJS,
JAXJSC,JAGUAR SJ-SC,
JAXK,XK,
JAXK8,JAGUAR XK8,
JAXKR,XKR,
JAXKRS,XKRS,
JAXSO,SOVERIGN,
JAXT,JAGUAR X-TYPE,
JD,JOHN DEERE (強鹿),JOHN DEERE (強鹿)
JECH,CHEROKEE 夏駱奇,
JEEP,JEEP,
JEGC,GRAND CHEROKEE,
JEXE,WRANGLER 藍哥(牧馬人),
JY,穩賺,
JZ,穩發,
KATO RW,KATO (加藤),
KAWA,KAWASAKI 川崎,
KI,KIA,
KICA,CARENS,
KICAP,CAPITAL 首都,
KICAR,CARNIVAL,
KICL,CLARUS,
KICO,CONCORD 協和,
KIDJ,KIA 卡旺,
KIEC,EURO CARENS,
KIES,EURO STAR,
KIJO,JOICE,
KIMO,MORNING,
KIOP,OPTIMA,
KIPI,PICANTO,
KIPR,PREGIO,
KIRI,RIO,
KIRO,ROCSTA 吉普車,
KISE,SEPHIA,
KISH,SHUMA,
KISO,SORENTO,
KISOL,SOUL,
KISP,SPORTAGE,
KIST,KIA STONIC,KIA
KOBE GC,KOBE 神戶,
KOBEL GE,KOBELCO (神鋼),
KU R1W,KUBOTA 久保田,
LA,蘭吉雅,
LA2A,THEMA 帝馬,
LABE,BEAT 碑達,
LADE,DEDRA 帝尊,
LADEL,DELTA,
LAKA,KAPPA,
LAN,LAMBORGHINI,
LAPR,PRISMA 霹靂馬,
LE,LEXUS,
LECT200,LEXUS CT200h,
LEES200,LEXUS ES200,
LEES240,LEXUS ES240,
LEES250,LEXUS ES250,
LEES300,LEXUS ES300,
LEES300H,LEXUS ES300H,
LEES330,LEXUS ES330,
LEES350,LEXUS ES350,
LEGS200T,LEXUS GS200T,LEXUS
LEGS250,LEXUS GS250,
LEGS300,LEXUS GS300,
LEGS300H,LEXUS GS300H,
LEGS350,LEXUS GS350,
LEGS400,LEXUS GS400,
LEGS430,LEXUS GS430,
LEGS450,LEXUS GS450,LEXUS
LEGS450H,LEXUS GS450H,
LEGS460,LEXUS GS460h,
LEIS200,LEXUS IS200,
LEIS200T,LEXUS IS200T,
LEIS250,LEXUS IS250,
LEIS300,LEXUS IS300,
LEIS300H,LEXUS IS300H,
LEIS350,LEXUS IS350,
LEISF,LEXUS ISF,LEXUS
LELM300H,LEXUS LM300H,
LELS300,LEXUS LS300,
LELS400,LEXUS LS400,
LELS430,LEXUS LS430,
LELS450,LEXUS LS450,
LELS460,LEXUS LS460,
LELS460L,LEXUS LS460L,
LELS470,LEXUS LS470,
LELS500,LEXUS LS500,
LELS600,LEXUS LS600h,
LELX470,LEXUS LX470,
LELX570,LEXUS LX570,
LENX200,LEXUS NX200,
LENX200T,LEXUS NX200T,
LENX250,LEXUS NX250,
LENX300,LEXUS NX300,
LENX300H,LEXUS NX300H,
LENX350H,LEXUS NX350H,
